aX,aY,aZ,gX,gY,gZ
-1.455,0.102,0.606,-8.179,34.119,-57.983
-1.471,0.151,0.593,-8.179,38.696,-38.635
-1.437,0.251,0.512,-0.977,41.443,-19.836
-1.377,0.393,0.386,9.216,44.250,-5.005
-1.246,0.507,0.259,18.188,45.837,4.578
-1.131,0.543,0.105,23.743,43.945,9.399
-1.037,0.512,0.034,18.799,38.147,9.766
-1.023,0.473,0.042,1.038,33.508,9.827
-0.997,0.446,0.063,-19.775,31.128,12.756
-0.923,0.411,0.110,-37.415,25.024,16.541
-0.841,0.393,0.171,-45.898,22.949,19.043
-0.784,0.404,0.205,-43.335,24.170,16.968
-0.722,0.412,0.211,-31.738,20.569,9.094
-0.663,0.414,0.198,-18.799,13.611,0.977
-0.601,0.427,0.191,-8.484,10.620,-4.089
-0.571,0.425,0.190,-5.249,9.949,-6.470
-0.529,0.428,0.193,-5.066,8.362,-7.446
-0.471,0.444,0.208,-7.874,5.554,-7.324
-0.392,0.461,0.255,-12.268,4.822,-5.981
-0.334,0.475,0.300,-13.672,6.775,-4.456
-0.284,0.490,0.364,-11.719,7.263,-4.333
-0.257,0.484,0.408,-6.226,6.897,-5.188
-0.214,0.471,0.427,1.526,7.141,-5.310
-0.193,0.474,0.437,5.981,7.141,-4.333
-0.190,0.474,0.458,6.348,7.385,-2.319
-0.192,0.480,0.491,4.333,9.094,3.052
-0.187,0.507,0.520,1.953,12.756,10.376
-0.151,0.557,0.541,1.160,13.000,16.174
-0.118,0.599,0.535,3.662,10.193,17.578
-0.078,0.633,0.486,12.085,6.958,15.381
-0.066,0.657,0.456,16.235,3.906,11.780
-0.084,0.682,0.466,11.902,3.357,10.681
-0.102,0.702,0.505,0.916,4.456,13.062
-0.082,0.723,0.573,-10.071,5.432,16.968
-0.052,0.729,0.642,-18.555,7.690,19.958
-0.037,0.737,0.687,-21.973,12.329,20.142
-0.028,0.744,0.714,-18.738,16.418,17.090
-0.010,0.730,0.703,-8.850,17.578,11.414
-0.013,0.709,0.637,3.723,16.357,3.784
-0.032,0.703,0.571,12.817,12.756,-2.625
-0.057,0.707,0.534,13.428,8.301,-3.845
-0.075,0.718,0.530,6.775,4.883,-0.488
-0.061,0.732,0.566,-4.089,4.028,5.310
-0.038,0.749,0.610,-13.428,4.639,10.986
0.003,0.778,0.669,-17.944,4.944,12.695
0.033,0.797,0.693,-14.404,5.188,9.460
0.039,0.798,0.683,-5.798,5.554,3.784
0.037,0.795,0.657,2.441,3.967,-2.380
0.038,0.790,0.635,8.301,2.502,-6.348
0.027,0.785,0.629,10.254,2.686,-7.751
0.014,0.781,0.616,7.874,4.761,-6.348
0.024,0.793,0.619,3.235,7.141,-3.967
0.032,0.797,0.629,-1.648,9.094,-2.075
0.039,0.795,0.648,-6.226,10.925,-0.549
0.041,0.788,0.666,-9.033,10.864,-0.793
0.038,0.773,0.678,-9.277,9.338,-3.174
0.038,0.775,0.687,-6.470,8.179,-5.188
0.030,0.768,0.673,-1.343,7.019,-8.789
0.029,0.753,0.647,3.906,3.418,-12.024
0.037,0.737,0.630,7.080,-0.916,-14.282
0.036,0.729,0.626,8.179,-2.075,-14.709
0.030,0.729,0.616,6.409,-0.916,-13.428
0.030,0.728,0.627,1.770,0.732,-10.742
0.027,0.734,0.637,-2.930,3.601,-6.653
0.046,0.752,0.651,-6.775,6.958,-3.601
0.072,0.763,0.653,-8.911,9.827,-2.136
0.098,0.767,0.651,-9.094,12.085,-3.418
0.088,0.775,0.651,-6.958,13.245,-7.141
0.081,0.781,0.635,-2.686,13.367,-12.390
0.056,0.763,0.613,2.258,11.963,-16.785
0.056,0.736,0.583,5.676,9.155,-18.250
0.046,0.721,0.581,4.639,6.470,-17.517
0.038,0.715,0.587,0.977,6.104,-14.771
0.044,0.713,0.604,-3.540,5.676,-11.414
0.060,0.708,0.635,-7.446,6.226,-8.423
0.082,0.704,0.664,-9.277,8.423,-6.714
